mean_idle_time,mean_idle_time-Secretary,mean_idle_time-Nurse,mean_idle_time-Doctor,mean_waiting_time,mean_waiting_time-1,mean_waiting_time-2,mean_waiting_time-3,mean_waiting_time-4,mean_waiting_time-5,mean_waiting_time-Registration,mean_waiting_time-Screening,mean_waiting_time-Medical_Care,mean_waiting_time-Exam_Medicine,mean_size_queue,mean_size_queue-Registration,mean_size_queue-Screening,mean_size_queue-Medical_Care,mean_size_queue-Exam_Medicine
0.25,0.45,0.00,0.30,1843.22,873.05,2261.54,1658.00,1975.83,1919.70,3.95,911.41,569.81,682.36,47.70,0.41,89.12,47.82,53.45
0.26,0.47,0.00,0.31,1524.04,620.89,2111.45,1555.10,1445.27,1373.49,3.48,890.09,377.97,656.01,37.89,0.35,74.49,43.48,33.25
0.26,0.48,0.01,0.30,1597.65,899.90,1930.64,1609.76,1453.07,1640.05,2.94,814.87,483.89,613.05,39.12,0.29,69.77,41.69,44.72
0.29,0.48,0.00,0.38,1414.98,479.15,1649.70,1467.71,1248.41,1568.48,3.65,672.96,378.60,649.64,34.97,0.36,76.08,27.57,35.88
0.31,0.46,0.00,0.46,1774.04,382.24,1876.20,1828.49,2115.56,2067.89,3.05,738.93,355.51,1329.06,44.83,0.31,115.47,22.85,40.70
0.25,0.44,0.00,0.30,1900.11,925.95,2495.07,1888.63,1806.90,1746.42,3.33,1050.92,541.39,687.85,49.29,0.34,93.83,55.44,47.53
0.29,0.48,0.00,0.38,1473.41,522.15,1669.47,1515.69,1727.36,1466.51,2.82,771.86,371.73,845.45,35.81,0.27,80.06,27.14,35.79
0.29,0.45,0.00,0.41,1824.85,456.94,2043.39,2032.02,1786.84,2014.27,3.76,644.63,263.84,1350.54,47.84,0.40,129.99,26.49,34.50
0.25,0.44,0.00,0.30,2062.57,1087.97,2854.15,1950.99,1904.24,1835.00,3.81,1160.41,399.01,917.07,54.21,0.40,105.04,65.71,45.67
0.26,0.45,0.01,0.31,1645.57,902.81,2089.24,1626.12,1614.85,1537.54,3.27,932.77,374.49,701.93,42.14,0.34,80.43,48.52,39.29
0.27,0.45,0.00,0.35,1565.68,874.79,1882.05,1597.24,1580.95,1463.90,3.45,728.47,483.41,774.05,39.64,0.35,84.48,36.06,37.65
0.28,0.48,0.00,0.35,1433.66,515.50,1654.77,1625.00,1442.66,1300.58,3.08,801.91,185.86,850.76,34.73,0.30,79.63,31.33,27.65
0.28,0.48,0.00,0.34,1568.14,442.71,1885.04,1617.84,1580.25,1697.20,3.21,967.48,192.73,1031.51,38.32,0.31,87.47,31.88,33.63
0.29,0.46,0.00,0.42,1684.75,678.83,1849.71,1859.89,1710.01,1690.60,3.66,676.33,452.29,1082.00,42.75,0.37,97.07,31.36,42.18
0.27,0.45,0.01,0.36,1592.45,444.63,1861.05,1707.63,1685.47,1671.28,3.59,712.96,237.72,1184.74,40.37,0.36,104.21,27.49,29.44
0.27,0.45,0.01,0.34,1660.24,746.90,2051.40,1659.26,1676.08,1611.37,3.34,866.57,497.65,711.16,42.20,0.34,86.87,39.00,42.61
0.29,0.49,0.01,0.35,1436.80,495.14,1718.78,1635.73,1326.27,1330.66,3.24,878.49,215.72,780.81,34.00,0.31,74.69,33.82,27.19
